address;available;building_material;building_type;construction_status;district;equipment_dishwasher;equipment_fridge;equipment_oven;equipment_stove;equipment_tv;equipment_washing_machine;extras_air_conditioning;extras_balcony;extras_basement;extras_furniture;extras_garage;extras_garden;extras_lift;extras_separate_kitchen;extras_swimming_pool;extras_terrace;extras_two_storey;extras_usable_room;floor_num;heating;id;latitude;link;longitude;market;media_cable-television;media_internet;media_phone;ownership;page_views;price;price_currency;publicated;rent;rooms;security_alarm;security_anti_burglary_door;security_closed_area;security_entryphone;security_monitoring;security_roller_shutters;security_security;surface;updated;window;year_of_construction
Warszawa, Piaski, Zgrupowania AK ¯mija ;.;breezeblock;apartment;ready_to_use;Piaski;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3 (z 4);other;54943292;52.23614;https://www.otodom.pl/oferta/mieszkanie-115-20-m-warszawa-ID3Ixg8.html;21.00817;secondary;0;0;0;cooperative_ownership;454;769000;PLN;ponad 14 dni temu;.;4;0;0;1;1;0;0;0;115.2;09.09.2018;plastic;2000
Warszawa, S³u¿ewiec, Obrze¿na;.;brick;apartment;ready_to_use;S³u¿ewiec;0;0;0;0;0;0;1;1;0;0;1;0;1;1;0;0;0;1;4 (z 6);urban;55240452;52.177998168945;https://www.otodom.pl/oferta/klimatyzacja-3-pok-z-osobna-kuchnia-ul-obrzezna-ID3JMz2.html;21.008;secondary;1;1;1;.;886;675000;PLN;ponad 14 dni temu;.;3;0;0;1;0;1;0;0;66.42;03.09.2018;.;2009
Warszawa, Praga-Pó³noc, Z TARASEM!ZAMIESZKAJ NA PRADZE OBOK METRA!;.;.;block;.;Praga-Pó³noc;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1 (z 6);.;54830304;52.2633;https://www.otodom.pl/oferta/mieszkanie-43-60-m-warszawa-ID3I3RK.html;21.02832;primary;0;0;0;full_ownership;201;500000;PLN;ponad 14 dni temu;.;2;0;0;0;1;0;0;0;43.6;04.09.2018;.;2020
Warszawa, Ochota, Park Szczêœliwicki;.;silikat;block;.;Ochota;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;3 (z 3);urban;55398996;52.20997;https://www.otodom.pl/oferta/ostatnie-pietro-taras-ID3KrOc.html;20.96727;primary;0;0;0;full_ownership;315;1262918;PLN;ponad 14 dni temu;.;5;0;0;0;1;1;0;0;112.1;29.08.2018;.;2019
Warszawa, Bemowo,  gen. Meriana C. Coopera;.;.;block;to_completion;Bemowo;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;3;.;55519316;52.23824636958341;https://www.otodom.pl/oferta/mieszkanie-dwupokojowe-na-bemowie-ID3KX6Q.html;20.89285767354126;primary;0;0;0;.;232;418480;PLN;31.08.2018;.;2;0;0;0;0;0;0;0;52.31;05.09.2018;.;.
Warszawa, Œródmieœcie, Okr¹g;.;brick;tenement;.;Œródmieœcie;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;parter (z 4);.;55569512;52.2302551;https://www.otodom.pl/oferta/mieszkanie-120-m-warszawa-ID3Laas.html;21.036335;secondary;0;0;0;.;164;1649000;PLN;04.09.2018;900 z³;3;0;0;0;0;0;0;0;120;04.09.2018;.;1928
Warszawa, Ursus, Poczty Gdañskiej;.;.;.;.;Ursus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;parter;.;55491376;52.1982874;https://www.otodom.pl/oferta/mieszkanie-59-08-m-warszawa-ID3KPQc.html;20.8985509;secondary;0;0;0;.;221;472850;PLN;30.08.2018;.;3;0;0;0;0;0;0;0;59.08;03.09.2018;.;.
Warszawa, Bemowo, Widawska;.;.;block;ready_to_use;Bemowo;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;7 (z 8);urban;55329244;52.253166;https://www.otodom.pl/oferta/dobra-oferta-trzech-pokoi-na-bemowie-ID3K9Fa.html;20.92401;secondary;1;1;0;full_ownership;686;525000;PLN;ponad 14 dni temu;500 z³;3;0;1;0;0;0;0;0;69.89;29.08.2018;plastic;2002
Warszawa, Bielany;.;concrete_plate;block;.;Bielany;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;10 (z 15);urban;54751332;52.28161;https://www.otodom.pl/oferta/3-pok-bielany-za-gotowke-ID3HJk0.html;20.97422;secondary;0;0;0;cooperative_ownership;403;430000;PLN;ponad 14 dni temu;.;3;0;0;0;1;0;0;0;58.5;04.09.2018;.;.
Warszawa, Bemowo,  gen. Meriana C. Coopera;.;.;block;to_completion;Bemowo;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;2 (z 3);.;55518988;52.23824636958341;https://www.otodom.pl/oferta/piekne-mieszkanie-trzypokojowe-w-warszawie-ID3KX1y.html;20.89285767354126;primary;0;0;0;.;192;520769;PLN;31.08.2018;.;3;0;0;0;0;0;0;0;66.34;05.09.2018;.;.
Warszawa, Chomiczówka, Josepha Conrada;.;concrete_plate;block;ready_to_use;Chomiczówka;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;1 (z 15);.;55638088;52.2758993;https://www.otodom.pl/oferta/bielany-3pokojowe-do-zamieszkania-ID3Ls0v.html;20.9232479;secondary;1;1;0;cooperative_ownership_with_mortgage_register;140;439000;PLN;08.09.2018;820 z³;3;0;0;0;0;0;0;0;56.8;08.09.2018;plastic;1978
Warszawa, Bia³o³êka, Myœliborska;.;brick;block;ready_to_use;Bia³o³êka;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;7 (z 8);urban;55370484;52.319128;https://www.otodom.pl/oferta/2-pok-mozliwe-3-swietna-lokalizacja-bialoleka-ID3Kkok.html;20.958647;secondary;1;1;1;cooperative_ownership_with_mortgage_register;488;450000;PLN;ponad 14 dni temu;497 z³;2;0;0;0;0;1;0;0;58.65;06.09.2018;plastic;2009
