address;available;building_material;building_type;construction_status;district;equipment_dishwasher;equipment_fridge;equipment_oven;equipment_stove;equipment_tv;equipment_washing_machine;extras_air_conditioning;extras_balcony;extras_basement;extras_furniture;extras_garage;extras_garden;extras_lift;extras_separate_kitchen;extras_swimming_pool;extras_terrace;extras_two_storey;extras_usable_room;floor_num;heating;id;latitude;link;longitude;market;media_cable-television;media_internet;media_phone;ownership;page_views;price;price_currency;publicated;rent;rooms;security_alarm;security_anti_burglary_door;security_closed_area;security_entryphone;security_monitoring;security_roller_shutters;security_security;surface;updated;window;year_of_construction
Warszawa, Praga-Po³udnie;.;.;apartment;to_completion;Praga-Po³udnie;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;2 (z 4);urban;54686952;52.2489663;https://www.otodom.pl/oferta/3-pokoje-praga-poludnie-ID3HszC.html;21.06775612;primary;0;1;0;.;349;570265;PLN;ponad 14 dni temu;.;3;0;0;0;0;0;0;0;67.09;04.09.2018;plastic;2018
Warszawa, Œródmieœcie, Chmielna;.;.;block;ready_to_use;Œródmieœcie;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;4 (z 10);.;55632664;52.2324848;https://www.otodom.pl/oferta/mieszkanie-27-m-warszawa-ID3LqB2.html;21.0154872;secondary;1;1;0;full_ownership;139;388000;PLN;07.09.2018;300 z³;1;0;0;0;0;0;0;0;27;07.09.2018;plastic;.
Warszawa, Bia³o³êka, Pas³êcka;.;.;block;ready_to_use;Bia³o³êka;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;parter (z 3);.;55008444;52.333559;https://www.otodom.pl/oferta/zadbane-3-pok-z-pieknym-ogrodem-na-tarchominie-ID3IOcY.html;20.9478239;secondary;1;1;1;full_ownership;1213;439000;PLN;ponad 14 dni temu;495 z³;3;0;0;0;0;0;0;0;60.8;06.09.2018;plastic;2003
Warszawa, Praga-Pó³noc, metro w pobli¿u;.;silikat;apartment;to_completion;Praga-Pó³noc;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;1;2 (z 6);urban;55590308;52.2633;https://www.otodom.pl/oferta/kawalerka-przy-samym-metrze-ID3LfzS.html;21.02832;primary;1;1;1;full_ownership;160;290400;PLN;05.09.2018;.;1;0;0;0;0;0;0;0;30.57;05.09.2018;plastic;2020
Warszawa, Mokotów;.;brick;apartment;ready_to_use;Mokotów;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2 (z 5);.;55202444;52.19832;https://www.otodom.pl/oferta/trzypokojowe-na-starym-mokotowie-w-warszawie-ID3JCG0.html;21.01715;secondary;0;0;0;full_ownership;356;1390000;PLN;ponad 14 dni temu;.;3;0;0;0;0;1;0;0;87.6;07.09.2018;.;.
Warszawa, Mirów, Ogrodowa;.;other;block;.;Mirów;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9 (z 10);.;55326624;52.24;https://www.otodom.pl/oferta/mieszkanie-59-70-m-warszawa-ID3K8YU.html;20.99;secondary;0;0;0;.;531;549000;PLN;ponad 14 dni temu;.;3;0;0;0;0;0;0;0;59.7;31.08.2018;plastic;1976
Warszawa, Bia³o³êka,  Ostródzka;.;brick;block;to_completion;Bia³o³êka;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;parter (z 2);urban;51637852;52.3039465;https://www.otodom.pl/oferta/59m2-widna-kuchnia-2-wc-2-balkony-ostatnie-ID3uFmA.html;21.0507299;primary;1;1;1;full_ownership;2269;340000;PLN;ponad 14 dni temu;.;3;0;1;1;1;1;0;0;59;03.09.2018;plastic;2017
Warszawa, Œródmieœcie,  Konstytucji;.;brick;tenement;ready_to_use;Œródmieœcie;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;5 (z 6);urban;54879192;52.2217139;https://www.otodom.pl/oferta/mieszkanie-68-m-warszawa-ID3IgAg.html;21.015176;secondary;0;0;0;.;285;816000;PLN;ponad 14 dni temu;.;2;0;0;0;0;0;0;0;68;07.09.2018;.;.
Warszawa, Goc³aw, gen. Tadeusza Bora-Komorowskiego;1 Lipca 2018;concrete_plate;block;.;Goc³aw;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1 (z 10);urban;55513796;52.22779;https://www.otodom.pl/oferta/przestronne-rodzinne-mieszkanie-ID3KWFO.html;21.09994;secondary;1;1;1;cooperative_ownership_with_mortgage_register;662;520000;PLN;31.08.2018;.;4;0;0;0;1;1;0;0;73.6;02.09.2018;.;1980
Warszawa, Mokotów, Kaczmarskiego;.;.;apartment;to_completion;Mokotów;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;2 (z 8);.;55514356;52.19057276407463;https://www.otodom.pl/oferta/ustawne-mieszkanie-w-sasiedztwie-metra-ID3KWOQ.html;21.01431758728027;primary;0;0;0;.;161;1108800;PLN;31.08.2018;.;3;0;0;0;1;0;0;0;69.3;03.09.2018;.;.
Warszawa, Wola,  Stanis³awa Worcella;.;breezeblock;block;ready_to_use;Wola;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;4 (z 6);urban;55581508;52.2222453;https://www.otodom.pl/oferta/swiezo-wykonczony-apartament-na-woli-wysoki-stand-ID3LdhV.html;20.940105;secondary;1;1;1;full_ownership;207;799000;PLN;05.09.2018;.;3;0;1;0;1;1;0;0;64.6;05.09.2018;plastic;2017
Warszawa, Praga-Pó³noc;31 Marca 2020;.;apartment;.;Praga-Pó³noc;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;7 (z 7);urban;55134916;52.2633005;https://www.otodom.pl/oferta/stylowe-osiedle-na-pradze-bez-prowizji-ID3Jl6Q.html;21.0283169;secondary;0;0;0;full_ownership;413;333200;PLN;ponad 14 dni temu;.;1;0;0;0;1;1;0;0;27.71;01.09.2018;plastic;2020
Warszawa, Imielin, Nugat;.;brick;block;.;Imielin;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;3 (z 3);urban;55480744;52.1558963;https://www.otodom.pl/oferta/duze-mieszkanie-z-mozliwoscia-wlasnej-aranzacji-ID3KN4I.html;21.0531538;secondary;1;1;0;cooperative_ownership;367;649000;PLN;29.08.2018;.;4;0;0;1;1;1;0;0;93;29.08.2018;plastic;1998
Warszawa, Ochota, Siewierska;.;brick;tenement;ready_to_use;Ochota;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;3 (z 3);.;55241412;52.23614;https://www.otodom.pl/oferta/mieszkanie-57-03-m-warszawa-ID3JMOv.html;21.00817;secondary;1;1;0;full_ownership;405;685000;PLN;ponad 14 dni temu;500 z³;3;0;0;0;0;0;0;0;57.03;ponad 14 dni temu;wooden;1953
Warszawa, Praga-Po³udnie, Zwyciêzców;.;brick;apartment;ready_to_use;Praga-Po³udnie;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;2 (z 7);urban;55588644;52.23157936;https://www.otodom.pl/oferta/przytulny-apartament-przy-ulicy-francuskiej-ID3Lf92.html;21.05776885;secondary;1;1;0;full_ownership;124;959000;PLN;05.09.2018;675 z³;3;0;0;0;0;1;0;0;85;09.09.2018;plastic;2001
Warszawa, Mokotów;.;.;.;.;Mokotów;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2 (z 11);.;55047596;52.19832;https://www.otodom.pl/oferta/pracujesz-na-mokotowieidealne-mieszkanie-na-start-ID3IYos.html;21.01715;secondary;1;1;1;.;600;323840;PLN;ponad 14 dni temu;.;2;0;0;0;0;0;0;0;35.2;26.08.2018;.;1968
Warszawa, Œródmieœcie, Aleje Ujazdowskie;.;brick;tenement;to_renovation;Œródmieœcie;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;3 (z 3);urban;50598788;52.22737658;https://www.otodom.pl/oferta/4-pokojowe-mieszkanie-w-zabytkowej-kamienicy-ID3qj3u.html;21.02408234;secondary;1;1;1;full_ownership;3341;1570000;PLN;ponad 14 dni temu;1 238 z³;4;0;0;0;0;0;0;0;98.48;08.09.2018;plastic;1893
Warszawa, Bemowo,  gen. Meriana C. Coopera;.;.;block;to_completion;Bemowo;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1 (z 3);.;55486736;52.23824636958341;https://www.otodom.pl/oferta/mieszkanie-dwupokojowe-w-doskonalej-lokalizacji-ID3KODm.html;20.89285767354126;primary;0;0;0;.;246;363120;PLN;29.08.2018;.;2;0;0;0;0;0;0;0;45.39;05.09.2018;.;.
Warszawa, Ursus, Orl¹t Lwowskich;.;.;block;ready_to_use;Ursus;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1 (z 10);.;55240072;52.23614;https://www.otodom.pl/oferta/mieszkanie-55-m-warszawa-ID3JMsU.html;21.00817;secondary;0;0;0;cooperative_ownership;491;380000;PLN;ponad 14 dni temu;500 z³;3;0;0;0;0;0;0;0;55;ponad 14 dni temu;.;1970
Warszawa, Wola;.;.;.;.;Wola;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5 (z 5);.;55388704;52.23338;https://www.otodom.pl/oferta/mieszkanie-75-m-warszawa-ID3Kp8c.html;20.95718;secondary;0;0;0;.;294;999000;PLN;ponad 14 dni temu;.;2;0;0;0;0;0;0;0;75;ponad 14 dni temu;.;.
Warszawa, Praga-Pó³noc;.;brick;tenement;.;Praga-Pó³noc;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1 (z 5);urban;55629760;52.25076;https://www.otodom.pl/oferta/3-pokojowy-apartament-w-przedwojennej-kamienicy-ID3LpQc.html;21.03472;primary;1;1;1;full_ownership;100;728970;PLN;07.09.2018;.;3;0;0;0;0;1;0;0;66;07.09.2018;wooden;1911
Warszawa, Bemowo,  gen. Meriana C. Coopera;.;.;block;to_completion;Bemowo;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;3 (z 3);.;55487256;52.23824636958341;https://www.otodom.pl/oferta/piekne-mieszkanie-czteropokojowe-ID3KOLK.html;20.89285767354126;primary;0;0;0;.;232;835560;PLN;29.08.2018;.;4;0;0;0;0;0;0;0;92.84;05.09.2018;.;.
Warszawa, Miêdzylesie,  Obiegowa;.;brick;apartment;ready_to_use;Miêdzylesie;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;parter (z 2);gas;55622832;52.2100789;https://www.otodom.pl/oferta/miedzylesie-apartament-162-m2-z-ogrodkiem-ID3Lo2s.html;21.187428;secondary;1;1;1;full_ownership;106;875000;PLN;07.09.2018;.;3;0;0;1;1;0;0;0;162;07.09.2018;plastic;1998
Warszawa, Sielce, Czerniakowska;.;other;block;to_renovation;Sielce;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;1 (z 10);urban;55529244;52.217999084473;https://www.otodom.pl/oferta/ciche-dwupokojowe-mieszkanie-na-mokotowie-ID3KZGY.html;21.05799923706;secondary;0;0;0;.;319;358000;PLN;02.09.2018;.;2;0;0;1;0;0;0;0;37.7;07.09.2018;.;1972
Warszawa, Wilanów,  Zaœciankowa;.;.;apartment;to_completion;Wilanów;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1 (z 2);urban;55317844;52.1688399;https://www.otodom.pl/oferta/nowoczesny-apartament-w-kameralnej-zabudowie-ID3K6Hi.html;21.1158806;primary;0;0;0;full_ownership;305;554000;PLN;ponad 14 dni temu;.;3;0;0;1;1;1;0;0;60.98;06.09.2018;.;.
Warszawa, Bia³o³êka, Du¿y ogródek, bliski termin oddania! 12 minut do Centrum;.;.;.;.;Bia³o³êka;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;parter (z 5);.;54800860;52.303412548348;https://www.otodom.pl/oferta/mieszkanie-80-m-warszawa-ID3HVcQ.html;20.991643642358;primary;0;0;0;.;288;451600;PLN;ponad 14 dni temu;.;4;0;0;0;0;0;0;0;80;08.09.2018;.;2019
Warszawa, Tarchomin, Aleksandra Kamiñskiego;.;.;block;ready_to_use;Tarchomin;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;3 (z 3);urban;55538700;52.3220076;https://www.otodom.pl/oferta/dwupoziomowe-wygodne-dla-rodziny-ID3L29u.html;20.9524834;secondary;1;1;0;full_ownership;221;595000;PLN;03.09.2018;1 200 z³;5;0;0;0;0;1;0;0;147;03.09.2018;plastic;1997
Warszawa, Bia³o³êka, Kartograficzna;.;.;block;ready_to_use;Bia³o³êka;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;parter (z 2);.;55330936;52.3127422;https://www.otodom.pl/oferta/mieszkanie-56-65-m-warszawa-ID3Ka6s.html;21.0729753;secondary;1;1;0;full_ownership;530;386000;PLN;ponad 14 dni temu;590 z³;3;0;0;0;0;0;0;0;56.65;ponad 14 dni temu;plastic;2010
Warszawa, Bemowo;.;.;block;to_completion;Bemowo;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;1;3;.;55406056;52.23306066637582;https://www.otodom.pl/oferta/metro500m-20-teraz-reszta-przy-odbiorze-okazja-ID3KtE4.html;20.92964056084484;primary;1;1;1;.;309;456318;PLN;ponad 14 dni temu;.;3;0;0;0;1;1;0;0;55;29.08.2018;plastic;.
Warszawa, Bia³o³êka,  Zdziarska;.;other;apartment;to_completion;Bia³o³êka;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;1 (z 2);.;55314660;52.3407138;https://www.otodom.pl/oferta/nowoczesna-inwestycja-blisko-zieleni-super-cena-ID3K5RV.html;21.054724;primary;0;0;0;full_ownership;386;397308;PLN;ponad 14 dni temu;.;3;0;1;1;1;1;0;0;63.22;ponad 14 dni temu;.;2018
Warszawa, Mokotów, Ludowa;.;.;apartment;ready_to_use;Mokotów;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2 (z 7);urban;53746996;52.23614;https://www.otodom.pl/oferta/mieszkanie-38-m-warszawa-ID3Dv32.html;21.00817;secondary;0;0;0;full_ownership;1152;490000;PLN;ponad 14 dni temu;850 z³;1;0;0;0;0;1;0;0;38;04.09.2018;wooden;2005
Warszawa, Œródmieœcie, Królewska;.;brick;tenement;to_renovation;Œródmieœcie;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1 (z 4);urban;55225356;52.2406621;https://www.otodom.pl/oferta/mieszkanie-107-m-warszawa-ID3JIDy.html;21.0149268;secondary;0;0;0;.;426;1836000;PLN;ponad 14 dni temu;800 z³;4;0;0;0;0;0;0;0;107;08.09.2018;.;1935
Warszawa, Rembertów, Paderewskiego;.;.;.;.;Rembertów;0;0;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;4 (z 4);.;55505892;52.273042;https://www.otodom.pl/oferta/mieszkanie-49-80-m-warszawa-ID3KTCk.html;21.15058;secondary;1;1;1;full_ownership;236;370000;PLN;31.08.2018;450 z³;2;0;0;0;0;0;0;0;49.8;31.08.2018;plastic;2004
Warszawa, ¯oliborz;.;brick;tenement;ready_to_use;¯oliborz;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2 (z 3);urban;55255184;52.26971;https://www.otodom.pl/oferta/klimatyczne-w-kamienicy-blisko-metra-ID3JQoE.html;20.98462;secondary;0;0;0;full_ownership;624;415000;PLN;ponad 14 dni temu;300 z³;1;0;0;0;0;0;0;0;34;03.09.2018;plastic;1950
Warszawa, Ursus,  Ochocka;.;other;apartment;to_completion;Ursus;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;2 (z 3);.;55563756;52.1878631;https://www.otodom.pl/oferta/garaz-w-cenie-mieszkania-promocja-ID3L8FC.html;20.8755655;primary;0;0;0;.;170;423962;PLN;04.09.2018;.;3;0;1;0;1;1;0;0;65.46;08.09.2018;.;2017
Warszawa, Centrum;.;.;tenement;.;Centrum;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1 (z 5);.;55335492;52.23194;https://www.otodom.pl/oferta/mieszkanie-90-m-warszawa-ID3KbhV.html;21.01111;secondary;1;1;1;full_ownership;366;1190000;PLN;ponad 14 dni temu;630 z³;3;0;0;0;0;0;0;0;90;ponad 14 dni temu;plastic;1903
Warszawa, Mokotów;.;.;apartment;.;Mokotów;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1 (z 2);urban;55208280;52.182248;https://www.otodom.pl/oferta/apartament-mokotow-130m2-22m2-balkonu-ID3JEc8.html;21.03195;primary;0;0;0;full_ownership;358;1349000;PLN;ponad 14 dni temu;.;4;0;0;0;0;0;0;0;130;07.09.2018;wooden;2018
Warszawa, Sady ¯oliborskie, W³adys³awa Broniewskiego;.;.;block;to_renovation;Sady ¯oliborskie;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;5 (z 10);urban;55590908;52.268191;https://www.otodom.pl/oferta/sady-zoliborskie-stacja-metro-marymont-ID3LfJy.html;20.9585716;secondary;1;1;0;cooperative_ownership;347;420000;PLN;05.09.2018;600 z³;4;0;0;0;0;0;0;0;57.1;07.09.2018;plastic;1969
Warszawa, Marymont,  S³owiañska;.;.;apartment;to_completion;Marymont;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;parter (z 2);.;55550048;52.276079;https://www.otodom.pl/oferta/mieszkanie-147-85-m-warszawa-ID3L56v.html;20.9661667;primary;0;0;0;full_ownership;157;2000000;PLN;03.09.2018;.;4;0;0;0;0;1;0;0;147.85;03.09.2018;.;.
Warszawa, Wilanów,  Rzeczypospolitej;.;.;block;to_renovation;Wilanów;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3 (z 4);urban;55637972;52.1611563;https://www.otodom.pl/oferta/mieszkanie-84-30-m-warszawa-ID3LrYE.html;21.071595;secondary;0;0;0;.;96;829000;PLN;08.09.2018;.;3;0;0;0;0;0;0;0;84.3;08.09.2018;wooden;2009
Warszawa, Praga-Pó³noc, S³oneczny apartament w kamienicy 5 minut do metra przy zabytkowej ulicze Pragi!;.;.;tenement;.;Praga-Pó³noc;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2 (z 4);.;54628640;52.2633;https://www.otodom.pl/oferta/mieszkanie-51-37-m-warszawa-ID3Hdp6.html;21.02832;primary;0;0;0;full_ownership;660;446919;PLN;ponad 14 dni temu;.;2;0;0;0;1;0;0;0;51.37;04.09.2018;.;2018
Warszawa, Stara Mi³osna;.;brick;.;ready_to_use;Stara Mi³osna;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;parter (z 2);.;55274588;52.21917;https://www.otodom.pl/oferta/mieszkanie-86-m-warszawa-ID3JWrC.html;21.2352;secondary;0;0;0;full_ownership;449;620000;PLN;ponad 14 dni temu;1 400 z³;4;0;0;0;0;0;0;0;86;ponad 14 dni temu;.;2003
Warszawa, Ochota, Filtrowa;.;.;tenement;to_renovation;Ochota;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;3 (z 4);.;54685516;52.218754;https://www.otodom.pl/oferta/mieszkanie-77-24-m-warszawa-ID3Hscs.html;20.99616;secondary;0;0;0;cooperative_ownership;831;840000;PLN;ponad 14 dni temu;1 000 z³;3;0;0;0;0;0;0;0;77.24;01.09.2018;wooden;1929
Warszawa, Mokotów, Wynalazek;.;.;.;.;Mokotów;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;.;55491612;52.1784293;https://www.otodom.pl/oferta/mieszkanie-64-m-warszawa-ID3KPU0.html;20.9931804;secondary;0;0;0;.;207;695000;PLN;30.08.2018;.;4;0;0;0;0;0;0;0;64;30.08.2018;.;.
Warszawa, Wawer,  GoŸdzików;.;other;apartment;to_completion;Wawer;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;4 (z 5);.;55557396;52.2386288;https://www.otodom.pl/oferta/15-minut-skm-do-centrum-super-cena-ID3L712.html;21.1375904;primary;0;0;0;.;310;338586;PLN;04.09.2018;.;2;0;1;1;1;1;0;0;45.91;08.09.2018;.;2018
Warszawa, Mokotów, Pu³awska;.;brick;block;.;Mokotów;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4 (z 6);.;55462460;52.200638;https://www.otodom.pl/oferta/2-pokoje-stary-mokotow-ID3KIjO.html;21.024119;secondary;1;1;0;full_ownership;286;380000;PLN;28.08.2018;.;2;0;0;0;0;0;0;0;38;28.08.2018;.;1960
Warszawa, Praga-Po³udnie, Zbaraska;.;.;block;.;Praga-Po³udnie;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;4 (z 4);.;52218283;52.2436512;https://www.otodom.pl/oferta/dwustronne-w-okolicach-parku-skaryszewskiego-ID3x6mn.html;21.073507;secondary;0;0;0;.;3916;350000;PLN;ponad 14 dni temu;.;2;0;0;0;0;0;0;0;47.9;06.09.2018;.;1964
Warszawa, Ursynów, Pileckiego ;3 Kwietnia 2018;brick;block;ready_to_use;Ursynów;1;1;1;1;0;1;0;0;0;1;0;0;0;0;0;1;0;1;parter (z 3);urban;53278708;52.138439892342745;https://www.otodom.pl/oferta/mieszkanie-2pok-59m2-duzy-taras-ursynow-warszaw-ID3Bye0.html;21.041071735976338;secondary;1;1;1;cooperative_ownership;2586;509000;PLN;ponad 14 dni temu;600 z³;2;1;0;0;1;0;1;0;58.77;03.09.2018;plastic;2001
Warszawa, Powiœle, Solec 24;.;reinforced_concrete;apartment;to_completion;Powiœle;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;6 (z 11);urban;54574552;52.23379498265055;https://www.otodom.pl/oferta/apartament-trzypokojowy-z-balkonem-ID3GZkI.html;21.03614955872194;primary;0;0;0;full_ownership;663;1079280;PLN;ponad 14 dni temu;431,71 z³;3;1;1;1;1;1;0;0;89.94;05.09.2018;wooden;2013
Warszawa, Wola,  Juliana Konstantego Ordona;.;.;.;.;Wola;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3 (z 8);.;55433104;52.2215281;https://www.otodom.pl/oferta/kawalerka-w-stanie-developerskim-wola-ID3KAGk.html;20.9554361;primary;0;0;0;.;429;297000;PLN;ponad 14 dni temu;.;1;0;0;0;0;0;0;0;33;ponad 14 dni temu;.;2018
Warszawa, Bemowo;.;.;block;ready_to_use;Bemowo;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;1;1 (z 5);urban;55239968;52.24091;https://www.otodom.pl/oferta/mieszkanie-76-58-m-warszawa-ID3JMre.html;20.91133;secondary;1;0;0;full_ownership;418;574350;PLN;ponad 14 dni temu;690 z³;3;0;0;0;0;0;0;0;76.58;ponad 14 dni temu;plastic;2003
Warszawa, Górce;.;breezeblock;.;.;Górce;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;3 (z 4);.;55499624;52.241911;https://www.otodom.pl/oferta/4-pokojowe-dwupoziomowe-mieszkanie-na-bemowie-ID3KRZe.html;20.90537;secondary;1;0;0;full_ownership;252;815000;PLN;30.08.2018;630 z³;4;0;0;0;0;0;0;0;95.1;30.08.2018;.;2000
Warszawa, Mokotów, Olesiñska;.;brick;apartment;to_completion;Mokotów;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;2 (z 5);urban;53392560;52.2045202;https://www.otodom.pl/oferta/131-5-a-apartamentowcu-na-starym-mokotowie-ID3C1Qk.html;21.0206045;secondary;0;0;0;full_ownership;1310;1660000;PLN;ponad 14 dni temu;1 500 z³;4;0;0;0;0;1;0;0;131;07.09.2018;wooden;2014
Warszawa, Mokotów;.;.;.;.;Mokotów;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8 (z 15);.;55614104;52.19832;https://www.otodom.pl/oferta/mieszkanie-77-m-warszawa-ID3LlLG.html;21.01715;secondary;0;0;0;.;124;754000;PLN;06.09.2018;.;3;0;0;0;0;0;0;0;77;06.09.2018;.;.
Warszawa, Bia³o³êka,  Morelowa;.;reinforced_concrete;block;to_completion;Bia³o³êka;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;3 (z 5);urban;55545120;52.3068501;https://www.otodom.pl/oferta/nowa-inwestycja-ustawne-m3-z-balkonem-7m2-ID3L3P2.html;20.9876096;primary;1;1;0;full_ownership;172;389800;PLN;03.09.2018;.;3;0;0;1;1;1;0;0;58.61;06.09.2018;plastic;.
Warszawa, Œródmieœcie Pó³nocne,  Aleja Jana Paw³a II;.;other;block;to_renovation;Œródmieœcie Pó³nocne;0;0;0;1;0;0;0;1;1;0;1;0;1;1;0;0;0;0;8 (z 9);urban;55349876;52.25036324207937;https://www.otodom.pl/oferta/okazja-3-pokojowe-mieszkanie-w-centrum-2-balkony-ID3Kf1V.html;20.98675332695313;secondary;1;1;1;full_ownership;4063;530000;PLN;ponad 14 dni temu;600 z³;3;0;1;1;1;0;0;0;58;08.09.2018;plastic;.
Warszawa, Poznañska;.;.;.;.;.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6 (z 6);.;55626896;52.2260345;https://www.otodom.pl/oferta/rozkladowe-m3-w-centrum-na-poznanskiej-ID3Lp60.html;21.0114119;secondary;0;0;0;.;88;750000;PLN;07.09.2018;794 z³;3;0;0;0;0;0;0;0;60;07.09.2018;.;1991
Warszawa, Wilanów,  Bruzdowa;30 Maja 2019;silikat;block;to_completion;Wilanów;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;1 (z 2);gas;55400560;52.1616086;https://www.otodom.pl/oferta/mieszkanie-59-13-m-warszawa-ID3Ksdq.html;21.1246899;primary;0;0;0;full_ownership;390;452344;PLN;ponad 14 dni temu;.;3;0;0;1;0;0;0;0;59.13;31.08.2018;plastic;2019
Warszawa, Wola;.;.;.;.;Wola;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2 (z 10);.;55469524;52.23338;https://www.otodom.pl/oferta/mieszkanie-97-m-warszawa-ID3KK9K.html;20.95718;secondary;0;0;0;.;228;820000;PLN;28.08.2018;.;3;0;0;0;0;0;0;0;97;29.08.2018;.;.
Warszawa, Bia³o³êka,  Zdziarska;.;other;apartment;to_completion;Bia³o³êka;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;1;1 (z 2);.;55314472;52.3407138;https://www.otodom.pl/oferta/super-mieszkanie-w-spokojnej-zielonej-okolicy-ID3K5OU.html;21.054724;primary;0;0;0;full_ownership;305;343079;PLN;ponad 14 dni temu;.;3;0;1;1;1;1;0;0;53.77;ponad 14 dni temu;.;2018
Warszawa, Praga-Pó³noc,  Stalowa;.;.;block;to_completion;Praga-Pó³noc;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1 (z 7);urban;55405604;52.2610724;https://www.otodom.pl/oferta/nowosc-2-pokoje-z-balkonem-praga-pln-ID3KtvM.html;21.0431214;primary;1;1;0;full_ownership;287;353631;PLN;ponad 14 dni temu;.;2;0;0;1;1;1;0;0;36.26;ponad 14 dni temu;plastic;.
Warszawa, Powiœle;.;brick;block;ready_to_use;Powiœle;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1 (z 8);urban;55537872;52.23805;https://www.otodom.pl/oferta/3-pokoje-powisle-srodmiescie-wysoki-standard-ID3L1V8.html;21.02935;secondary;0;0;0;full_ownership;1348;899000;PLN;03.09.2018;650 z³;3;0;0;0;1;1;0;0;67.5;09.09.2018;plastic;.
