Borough;City;Neighbourhood;Street;available;building_material;building_type;construction_status;district;equipment_dishwasher;equipment_fridge;equipment_oven;equipment_stove;equipment_tv;equipment_washing_machine;extras_air_conditioning;extras_balcony;extras_basement;extras_furniture;extras_garage;extras_garden;extras_lift;extras_separate_kitchen;extras_swimming_pool;extras_terrace;extras_two_storey;extras_usable_room;heating;latitude;link;longitude;market;media_cable-television;media_internet;media_phone;orig_street;ownership;page_views;price;price_currency;publicated;rent;rooms;security_alarm;security_anti_burglary_door;security_closed_area;security_entryphone;security_monitoring;security_roller_shutters;security_security;surface;updated;window;year_of_construction;Neighbourhood_filled;appartment_floor_no;building_floor_no;price_per_sqm;age;age_mean;age_mode;age_median;age_random;Id
bia³o³êka;warszawa;tarchomin;myœliborska;.;brick;block;ready_to_use;.;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;urban;52.319128;https://www.otodom.pl/oferta/2-pok-mozliwe-3-swietna-lokalizacja-bialoleka-ID3Kkok.html;20.958647;secondary;1;1;1;True;cooperative_ownership_with_mortgage_register;488;450000.0;PLN;15;497.0;2;0;0;0;0;1;0;0;59;4;plastic;2009;tarchomin;7;8;7627.118644067797;10.0;10.0;10.0;10.0;10.0;55370484
mokotów;warszawa;stary mokotów;huculska;.;brick;missing;to_completion;.;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;missing;52.2011444;https://www.otodom.pl/oferta/mieszkanie-90-28-m-warszawa-ID3Lk3u.html;21.0280057;primary;1;1;0;True;full_ownership;122;1128500.0;PLN;4;811.0;2;0;0;0;0;0;0;0;90;4;wooden;2017;stary mokotów;1;6;12538.888888888889;2.0;2.0;2.0;2.0;2.0;55607520
weso³a;warszawa;stara mi³osna;dworkowa;2018-08-02;missing;row_house;missing;.;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;1;missing;52.21917;https://www.otodom.pl/oferta/mieszkanie-dwupoziomowe-z-ogrodkiem-i-garazem-ID3JhtG.html;21.2352;secondary;1;1;0;True;full_ownership;1999;510000.0;PLN;15;260.0;3;0;1;1;1;0;0;0;106;1;missing;2008;stara mi³osna;groundfloor;2;4811.320754716981;11.0;11.0;11.0;11.0;11.0;55120956
wola;warszawa;m³ynów;œw. stanis³awa;.;missing;apartment;missing;.;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;urban;52.2463922;https://www.otodom.pl/oferta/mieszkanie-62-m-warszawa-ID3LjCU.html;20.9642937;secondary;0;0;0;True;full_ownership;119;620000.0;PLN;4;.;2;0;0;1;1;0;0;0;62;4;plastic;2016;m³ynów;5;6;10000.0;3.0;3.0;3.0;3.0;3.0;55605872
targówek;warszawa;bródno;chodecka;.;concrete_plate;block;to_renovation;.;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;urban;52.309999237061;https://www.otodom.pl/oferta/mieszkanie-47-m-warszawa-ID3L1G8.html;21.050000915527;secondary;1;0;1;True;missing;265;325000.0;PLN;7;.;3;0;0;0;0;0;0;0;47;3;missing;1970;bródno;2;4;6914.893617021276;49.0;49.0;49.0;49.0;49.0;55536880
wilanów;warszawa;b³onia wilanowskie;rzeczypospolitej;.;reinforced_concrete;block;to_completion;.;1;1;1;1;0;0;1;1;0;1;1;0;1;0;0;1;0;0;urban;52.165783746866936;https://www.otodom.pl/oferta/mieszkanie-warszawa-wilanow-ul-rzeczypospolitej-ID3krkY.html;21.069915855541993;primary;1;1;0;False;missing;260;1230000.0;PLN;15;.;4;0;0;1;1;1;0;0;104;13;plastic;2017;b³onia wilanowskie;2;4;11826.923076923076;2.0;2.0;2.0;2.0;2.0;49200656
bia³o³êka;warszawa;szamocin;p³ochociñska;.;other;apartment;to_completion;.;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;missing;52.32899;https://www.otodom.pl/oferta/dwupoziomowe-mieszkanie-w-rewelacyjnej-cenie-ID3JS1V.html;21.00768;primary;0;0;0;True;full_ownership;406;468700.0;PLN;15;.;5;0;1;1;1;0;0;0;92;15;missing;2017;szamocin;3;4;5094.565217391304;2.0;2.0;2.0;2.0;2.0;55261464
wilanów;warszawa;.;.;.;missing;apartment;missing;.;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;missing;52.15935;https://www.otodom.pl/oferta/80-mkw-przestrzeni-wygody-potrzebnej-ci-do-zycia-ID3JPIU.html;21.07775;secondary;0;1;0;False;full_ownership;680;749000.0;PLN;15;490.0;3;0;0;0;0;0;0;0;80;15;wooden;2011;wilanów;2;4;9362.5;8.0;8.0;8.0;8.0;8.0;55252596
praga po³udnie;warszawa;grochów;.;.;missing;missing;missing;.;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;urban;52.23614;https://www.otodom.pl/oferta/3-pokoje-alarm-winda-garaz-podziemny-ID3Ja4U.html;21.00817;secondary;1;1;1;False;full_ownership;635;550000.0;PLN;15;650.0;3;0;0;0;0;1;0;0;73;11;plastic;2009;grochów;1;3;7534.246575342466;10.0;10.0;10.0;10.0;10.0;55092512
bielany;warszawa;.;.;.;concrete_plate;block;to_renovation;.;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;urban;52.29359;https://www.otodom.pl/oferta/przytulne-2-osobne-pokoje-do-wlasnej-aranzacji-ID3IU4s.html;20.92645;secondary;1;1;1;False;missing;516;285000.0;PLN;15;330.0;2;0;0;0;0;0;0;0;34;15;plastic;1976;bielany;groundfloor;10;8382.35294117647;43.0;43.0;43.0;43.0;43.0;55030980
w³ochy;warszawa;stare w³ochy;potrzebna;.;other;apartment;to_completion;.;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;missing;52.2124006;https://www.otodom.pl/oferta/dojazd-do-centrum-w-12-minut-piekna-okolica-ID3KW9y.html;20.9217771;primary;0;0;0;True;full_ownership;270;999000.0;PLN;10;.;4;0;1;1;1;1;0;0;126;9;missing;.;stare w³ochy;5;5;7928.571428571428;1.0;1.0;1.0;1.0;1.0;55511796
mokotów;warszawa;.;.;.;missing;missing;to_completion;.;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;missing;52.17745064;https://www.otodom.pl/oferta/mokotow-dla-ciebie-lub-pod-inwestycje-ID3Hq20.html;20.99444032;primary;0;0;0;False;full_ownership;6324;461895.0;PLN;15;.;2;0;0;0;0;0;0;0;56;9;missing;2019;mokotów;5;7;8248.125;0.0;0.0;0.0;0.0;0.0;54677180
wola;warszawa;.;.;.;concrete_plate;block;to_renovation;.;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;urban;52.23338;https://www.otodom.pl/oferta/kawalerka-27-m2-w-centrum-ID3JM0M.html;20.95718;secondary;0;0;0;False;cooperative_ownership;413;330000.0;PLN;15;.;1;0;0;0;0;1;0;0;27;15;missing;1974;wola;gt10;15;12222.222222222223;45.0;45.0;45.0;45.0;45.0;55238328
bia³o³êka;warszawa;grodzisk;.;.;missing;apartment;to_completion;.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;missing;52.3326536;https://www.otodom.pl/oferta/cicha-i-spokojna-okolica-super-cena-ID3Lpfm.html;21.055613;primary;0;0;0;False;missing;89;233294.0;PLN;3;.;2;0;0;0;1;0;0;0;35;3;missing;.;grodzisk;groundfloor;2;6665.542857142857;1.0;1.0;1.0;1.0;1.0;55627476
mokotów;warszawa;s³u¿ewiec;cybernetyki;.;missing;apartment;to_completion;.;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;missing;52.1764506;https://www.otodom.pl/oferta/dwustronne-mieszkanie-w-przepieknej-okolicy-ID3LnFm.html;20.9935391;primary;0;0;0;True;missing;90;443061.0;PLN;3;.;3;0;0;0;1;0;0;0;52;3;missing;.;s³u¿ewiec;1;7;8520.403846153846;1.0;1.0;1.0;1.0;1.0;55621400
œródmieœcie;warszawa;muranów;s³omiñskiego zygmunta;.;brick;apartment;ready_to_use;.;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;urban;52.2566964;https://www.otodom.pl/oferta/mieszkanie-63-m-warszawa-ID3IgAk.html;20.9920342;secondary;0;0;0;False;missing;347;840000.0;PLN;15;.;2;0;0;0;0;0;0;0;63;3;missing;2005;muranów;5;7;13333.333333333334;14.0;14.0;14.0;14.0;14.0;54879196
bemowo;warszawa;fort bema;ksiêcia boles³awa;2018-08-01;brick;apartment;ready_to_use;.;1;1;1;1;0;0;0;1;0;1;1;0;1;0;0;1;0;0;urban;52.253732249573716;https://www.otodom.pl/oferta/ksiecia-boleslawa-obroncow-tobruku-z-wid-na-park-ID3yXuf.html;20.935276762084957;secondary;1;1;1;False;full_ownership;4152;1190000.0;PLN;15;750.0;3;1;1;1;1;1;1;0;90;5;wooden;2006;fort bema;4;5;13222.222222222223;13.0;13.0;13.0;13.0;13.0;52660831
praga po³udnie;warszawa;goc³aw;poligonowa;.;missing;missing;missing;.;1;1;1;1;0;1;0;1;1;1;1;0;1;1;0;1;0;1;missing;52.24168;https://www.otodom.pl/oferta/wyjatkowy-taras-piekne-zachody-slonca-garaz-ID3JLrq.html;21.08406;secondary;1;1;1;True;full_ownership;1931;830000.0;PLN;15;1020.0;3;0;1;1;1;1;1;0;95;2;plastic;2001;goc³aw;7;missing;8736.842105263158;18.0;18.0;18.0;18.0;18.0;55236136
praga pó³noc;warszawa;szmulowizna;siedlecka;2018-08-31;brick;tenement;ready_to_use;.;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;urban;52.25940893022624;https://www.otodom.pl/oferta/3-pokoje-po-gruntownym-remoncie-wlasnosc-z-kw-ID3KRy0.html;21.060788966687007;secondary;1;1;0;True;full_ownership;1841;399000.0;PLN;11;550.0;3;0;1;1;1;0;0;0;62;5;plastic;1955;szmulowizna;groundfloor;3;6435.4838709677415;64.0;64.0;64.0;64.0;64.0;55497936
bia³o³êka;warszawa;¿erañ;morelowa;.;reinforced_concrete;block;to_completion;.;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;urban;52.3068501;https://www.otodom.pl/oferta/nowa-inwestycja-ustawne-m3-z-balkonem-7m2-ID3LhS8.html;20.9876096;primary;1;1;0;True;full_ownership;122;389800.0;PLN;4;.;3;0;0;1;1;1;0;0;59;4;plastic;.;¿erañ;3;5;6606.779661016949;1.0;1.0;1.0;1.0;1.0;55599128
bia³o³êka;warszawa;dworska;skarbka z gór;.;missing;block;missing;.;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;urban;52.316954;https://www.otodom.pl/oferta/mieszkanie-67-m-warszawa-ID3L9UI.html;21.0592891;secondary;0;0;0;True;full_ownership;136;469000.0;PLN;6;500.0;4;0;0;1;1;0;0;0;67;6;plastic;2006;dworska;2;3;7000.0;13.0;13.0;13.0;13.0;13.0;55568536
