available;building_material;building_type;construction_status;district;equipment_dishwasher;equipment_fridge;equipment_oven;equipment_stove;equipment_tv;equipment_washing_machine;extras_air_conditioning;extras_balcony;extras_basement;extras_furniture;extras_garage;extras_garden;extras_lift;extras_separate_kitchen;extras_swimming_pool;extras_terrace;extras_two_storey;extras_usable_room;floor_num;heating;latitude;link;longitude;market;media_cable-television;media_internet;media_phone;ownership;page_views;price;price_currency;publicated;rent;rooms;security_alarm;security_anti_burglary_door;security_closed_area;security_entryphone;security_monitoring;security_roller_shutters;security_security;surface;updated;window;year_of_construction;Borough;City;Neighbourhood;Street;orig_street;Id
.;.;.;.;ursus;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1 (z 3);.;52.19512;https://www.otodom.pl/oferta/warszawa-ursus-3-pokoje-tylko-6640zl-m2-ID3JvgQ.html;20.88379;primary;1;1;0;.;377;433262;PLN;ponad 14 dni temu;.;3;0;0;0;0;0;0;0;65.25;05.09.2018;plastic;2018;ursus;warszawa;.;.;False;55177820
.;other;apartment;.;wola;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1 (z 8);urban;52.22153;https://www.otodom.pl/oferta/kasprzaka-ordona-w-nowym-budynku-ID3KJaM.html;20.95544;secondary;0;0;0;full_ownership;280;327000;PLN;28.08.2018;.;2;0;1;1;1;1;0;0;32.65;30.08.2018;.;2018;wola;warszawa;odolany;juliusza konstantego ordona;True;55465744
.;.;apartment;ready_to_use;mokotów;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;3 (z 4);other;52.1763524;https://www.otodom.pl/oferta/mieszkanie-144-10-m-warszawa-ID3FNNy.html;21.0336557;secondary;1;0;0;cooperative_ownership;835;1970000;PLN;ponad 14 dni temu;.;5;0;0;0;0;1;0;0;144.1;08.09.2018;wooden;2000;mokotów;warszawa;s³u¿ew;niedŸwiedzia;True;54291884
.;.;.;.;bemowo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2 (z 5);.;52.24091;https://www.otodom.pl/oferta/mieszkanie-78-50-m-warszawa-ID3KG1C.html;20.91133;secondary;0;0;0;.;256;650000;PLN;27.08.2018;.;3;0;0;0;0;0;0;0;78.5;28.08.2018;.;.;bemowo;warszawa;.;.;False;55453644
.;.;.;to_completion;grochów;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;parter (z 5);.;52.2453919;https://www.otodom.pl/oferta/mieszkanie-49-78-m-warszawa-ID3L50o.html;21.0845187;primary;0;0;0;.;129;365883;PLN;03.09.2018;.;2;0;0;0;0;0;0;0;49.78;03.09.2018;.;.;praga po³udnie;warszawa;grochów;wiatraczna;True;55549668
.;.;.;.;wola;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5 (z 6);.;52.23338;https://www.otodom.pl/oferta/mieszkanie-62-m-warszawa-ID3Kp9e.html;20.95718;secondary;0;0;0;.;261;698000;PLN;ponad 14 dni temu;.;3;0;0;0;0;0;0;0;62;ponad 14 dni temu;.;.;wola;warszawa;.;.;False;55388768
.;other;apartment;to_completion;bemowo;0;0;0;0;0;0;1;1;1;0;1;0;1;1;0;0;0;0;3 (z 4);urban;52.24091;https://www.otodom.pl/oferta/200-metrow-od-metra-ID3KMVM.html;20.91133;primary;1;1;1;.;319;393103;PLN;29.08.2018;.;3;0;1;1;1;1;0;0;49.76;29.08.2018;aluminium;2019;bemowo;warszawa;.;.;False;55480252
.;brick;block;to_completion;wyczó³ki;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;parter (z 5);urban;52.153999847412;https://www.otodom.pl/oferta/nowe-ul-klobucka-3-pok-ogrod-66m2-taras-ursynow-ID3GGlV.html;20.983999771118;secondary;1;1;1;.;1599;539900;PLN;ponad 14 dni temu;.;3;0;0;1;0;1;0;0;64.9;05.09.2018;.;2018;ursynów;warszawa;wyczó³ki;pieskowa ska³a;True;54501592
.;brick;tenement;.;mokotów;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;parter (z 4);.;52.2050495;https://www.otodom.pl/oferta/lokalizacja-dwupokojowe-parter-stary-mokotow-ID3KLVA.html;21.0111849;secondary;0;0;0;full_ownership;241;630000;PLN;29.08.2018;590 z³;2;0;0;0;0;0;0;0;59.5;07.09.2018;.;1958;mokotów;warszawa;stary mokotów;narbutta ludwika;False;55476396
.;brick;.;.;anin;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1 (z 3);urban;52.213634;https://www.otodom.pl/oferta/cztery-pokoje-w-aninie-ID3Lm9u.html;21.16269;primary;1;1;1;full_ownership;123;700710;PLN;06.09.2018;.;4;0;0;0;0;1;0;0;116.85;06.09.2018;plastic;2018;wawer;warszawa;anin;.;False;55615580
